,station,latitude,longitude,Mean,Std,V0,V1,V2
6167,USC00239056,36.9783,-91.3847,21.9236914601,9.87820823547,-93.6170189056,40.9879914356,-27.5757745492
6168,RSM00031909,45.0,136.6,7.2467032967,10.8718340148,173.400276815,-41.7870758167,14.4862386549
6169,USC00205662,43.5858,-84.7697,14.9600550964,13.0282582045,55.7481823463,60.7874112476,8.55963464021
6170,USC00114593,41.0833,-87.9167,17.8002747253,11.9063504586,-7.22268758875,47.471455858,8.37842793155
6171,USC00364325,41.4992,-80.4681,14.5967032967,11.8814561448,51.4107132173,29.2967204034,19.5118792262
6172,ITE00100550,44.5,11.3458,16.7478021978,9.05135656182,-2.91236221899,4.01494662763,-4.25450607374
6173,USC00395228,43.4206,-97.2567,12.9491525424,13.7028023801,87.1260091013,47.2600949603,4.33348749312
6174,USC00212881,45.3397,-92.9125,14.7392857143,13.2298102673,56.2945584711,52.4848576012,-44.5082492787
6175,USC00020808,33.4783,-109.7517,20.2541208791,7.99936189397,-76.9837411465,1.32929136533,-13.0749620923
6176,USC00246238,48.6956,-106.3153,9.73956043956,14.8756872895,153.613708832,37.9183662884,0.443947879102
6177,USC00046818,33.7833,-117.25,26.5607843137,7.57451332073,-197.526807997,19.607121058,31.3755007745
6178,USC00098666,30.9139,-83.8611,25.5703846154,6.82843093857,-133.710203502,13.5598397323,-5.90394577112
6179,USC00142602,38.8592,-96.1058,18.4491758242,13.0997640438,-14.1116010064,64.9659855697,2.32911982372
6180,CA001106CL2,49.28,-122.88,13.5958333333,7.43059436646,37.9090027944,-53.4170123425,0.668335496808
6181,USC00108850,43.3167,-115.8333,18.6645604396,9.75541168913,-35.9657698992,19.524772802,3.97760244066
6182,USC00192642,41.7167,-71.1333,14.8730769231,10.4874147698,37.4621578924,7.37416837877,15.0546939542
6183,CA008100100,45.98,-66.37,10.9444751381,11.8461959708,117.361646031,1.27502597634,12.7355805648
6184,CA006041110,49.15,-88.34,9.57637362637,12.0566174449,142.802825986,-0.576091914012,8.43684029164
6185,USC00465365,38.1947,-81.3706,18.9148351648,10.925207757,-34.9950983433,38.6533685182,-18.1685260985
6186,USC00204257,44.7281,-85.1728,10.7046703297,11.4170926974,118.089726413,-6.02645729733,16.0572942588
6187,USC00205065,44.2114,-86.2939,13.0554347826,8.84514561202,45.3538886352,-34.9152549415,-46.9266135762
6188,USC00210541,45.55,-96.7167,13.1300835655,13.0714444664,80.9883454103,31.2384790139,-18.7418951866
6189,ASN00023894,-35.5194,138.8177,20.9577464789,6.26259321646,-163.174053443,-183.008888951,0.502723545552
6190,IN011140700,24.65,77.317,31.5174129353,4.92439811446,-175.861264673,-1.39988272317,8.59811616727
6191,USC00014226,33.9047,-87.3153,23.531043956,9.6995580509,-124.693378771,50.28787166,-15.6240696975
6192,USC00098740,34.5786,-83.3319,20.791086351,8.38599633165,-83.7552146596,10.8941959546,-8.84037987637
6193,USC00509313,63.3519,-143.0422,2.15357142857,16.9085667666,310.705070848,36.9709097204,-33.5457969569
6194,USC00258480,41.7767,-96.2328,15.7195121951,14.7358153293,47.8169088679,82.0668760444,-2.14665963069
6195,CA002100719,63.6,-137.52,3.84733893557,16.6732001176,269.524716444,30.4070619602,-60.9826735478
6196,USC00250145,40.1,-99.3667,16.0895604396,12.6104962745,29.1513601345,50.9052628048,10.9713725536
6197,USC00211374,47.3847,-94.6147,10.4287323944,13.6211007528,134.689720395,23.0223815979,14.9048502675
6198,CA007016560,47.0,-72.17,10.5614958449,11.210281044,117.882725919,-13.757287576,13.3335281695
6199,USC00413828,33.6267,-100.3369,30.2073732719,7.39776034197,-85.1702745949,80.3566557592,56.6336239608
6200,USC00465224,37.8564,-80.4042,22.9953488372,8.934480377,-30.9295743102,37.5956089375,14.6185641594
6201,SP000008410,37.8442,-4.8458,25.79348659,8.85672221856,-116.557201917,45.0477617423,-8.58159991201
6202,USC00221865,31.2503,-89.8361,26.4370879121,8.84909340877,-181.259571896,59.2433068153,-17.7892457978
6203,GME00102356,49.7714,9.9589,14.6807692308,8.6663688393,27.0215618066,-28.5313193732,-14.4075676004
6204,RSM00029562,56.1,91.667,6.49833887043,14.436854045,183.229925595,-6.36344678341,-4.38850571002
6205,USC00264858,39.1667,-119.9167,5.49065420561,7.99300550201,46.7685362218,-0.662787075689,-51.6456290358
6206,USW00014936,44.3981,-98.2231,12.1217032967,14.0378568368,103.198111421,35.695743275,16.6881624486
6207,CH000058251,32.85,120.283,19.2554621849,9.33099738406,-45.0722244433,22.5592867716,12.7229803929
6208,RSM00028909,52.817,52.217,12.3292682927,14.29783787,112.126788721,41.7797001635,16.1475659989
6209,USC00253396,40.9167,-98.35,17.2524861878,13.0252710985,8.90411749823,58.2195015711,-1.26853391511
6210,USW00053870,35.1967,-81.1558,21.8395027624,8.22509720685,-104.747257369,16.3328930043,-5.34728327604
6211,USC00105466,43.95,-113.6667,11.540652819,12.2153880986,92.5192456451,29.1359990029,8.32041233484
6212,USC00108548,43.4833,-114.8167,13.4700831025,13.1358085054,80.1304883502,43.7034642034,-1.60130442009
6213,USC00306817,41.6833,-73.9333,17.4777472527,11.4244351765,-1.61925080854,43.5281377786,16.0738271342
6214,USC00122149,40.615,-86.6661,16.7242424242,13.2834666667,20.7157897008,63.3488863503,20.2583598898
6215,JA000047624,36.4,139.067,20.3985994398,8.85399928623,-68.4837772455,18.8716934465,25.8727908325
6216,USW00024241,46.4833,-122.8167,16.7804945055,8.07008304882,-16.1496507503,-26.0886611796,15.0731481644
6217,ASN00014402,-12.1239,134.9078,30.8943396226,2.1512829369,-292.34842828,-68.5307464679,6.36323139955
6218,USS0013C01S,47.0,-113.9167,7.09661971831,9.76329948034,163.617393093,-65.7227531032,-5.47746052069
6219,USC00331072,40.8128,-83.6111,14.9074175824,11.3302219085,40.8436958507,22.7425916728,11.3654427521
6220,USC00020060,33.9433,-113.1875,26.8540636042,8.58443056652,-154.173496026,42.9715207366,15.2602450479
6221,LG000026406,56.483,21.017,10.8271978022,6.73747122601,84.7885594179,-80.8196077773,0.790227362259
6222,USC00152407,37.2667,-87.5167,20.1884297521,10.7229076128,-56.7640063777,43.5546529593,1.09583853745
6223,ASN00069017,-36.2519,150.2275,19.2426865672,3.32447261314,-100.805046671,-150.608154089,-32.1261214398
6224,USC00427724,39.7858,-111.1189,10.1703125,9.7723442634,89.3531159308,-15.4135989006,0.815934786268
6225,USC00394516,43.9072,-99.8628,16.8622589532,12.8432114265,12.6651272517,51.6634070529,38.416860499
6226,ASN00051048,-32.0322,147.9826,25.174084507,7.05790568176,-246.292749004,-182.528466015,-8.70372227037
6227,USC00021282,33.8161,-111.9019,28.1541786744,9.25681327719,-187.64067487,84.2117183689,-24.6873188779
6228,USC00410611,30.0969,-94.0997,19.6737704918,6.2475149588,-51.2137476517,-25.7174424229,-33.9214405831
6229,USC00453826,47.2336,-123.9897,18.2316939891,7.37423374731,-4.78594913403,-23.644807417,8.93637294096
6230,CA001145297,50.267,-117.817,-1.225,0.465698400255,1.19115119213,0.874127404169,-0.415083081637
6231,AR000877500,-38.733,-62.167,22.2923076923,7.55718464307,-203.209023192,-211.601105429,-6.25104960469
